"","diff","lwr","upr","p adj"
"mean-complete",-0.024,-0.028,-0.021,0
"mi15-complete",-0.01,-0.013,-0.007,0
"mi5-complete",-0.01,-0.014,-0.007,0
"reg-complete",-0.009,-0.013,-0.006,0
"s_reg-complete",-0.011,-0.014,-0.007,0
"mi15-mean",0.014,0.011,0.018,0
"mi5-mean",0.014,0.01,0.017,0
"reg-mean",0.015,0.011,0.018,0
"s_reg-mean",0.013,0.01,0.017,0
"mi5-mi15",0,-0.004,0.003,1
"reg-mi15",0.001,-0.003,0.004,0.996
"s_reg-mi15",-0.001,-0.004,0.003,0.992
"reg-mi5",0.001,-0.002,0.004,0.967
"s_reg-mi5",0,-0.004,0.003,1
"s_reg-reg",-0.001,-0.005,0.002,0.887
