"","diff","lwr","upr","p adj"
"mean-complete",-0.023,-0.027,-0.02,0
"mi15-complete",-0.008,-0.012,-0.005,0
"mi5-complete",-0.008,-0.011,-0.004,0
"reg-complete",-0.007,-0.011,-0.004,0
"s_reg-complete",-0.009,-0.012,-0.005,0
"mi15-mean",0.015,0.011,0.018,0
"mi5-mean",0.015,0.012,0.019,0
"reg-mean",0.016,0.012,0.019,0
"s_reg-mean",0.015,0.011,0.018,0
"mi5-mi15",0,-0.003,0.004,0.999
"reg-mi15",0.001,-0.002,0.004,0.945
"s_reg-mi15",0,-0.004,0.003,1
"reg-mi5",0.001,-0.003,0.004,0.995
"s_reg-mi5",-0.001,-0.004,0.003,0.994
"s_reg-reg",-0.001,-0.005,0.002,0.889
